DR_NO,Part 1-2,Crm Cd,Crm Cd Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4
201106089.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200106948.0,2.0,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
200806568.0,,480.0,BIKE - STOLEN,,,,
,1.0,510.0,VEHICLE - STOLEN,510.0,,,
,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,,,
200914159.0,2.0,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
201104052.0,2.0,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,998.0,,
,1.0,310.0,,,,,
,2.0,956.0,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",956.0,,,
201114637.0,,510.0,,,,,
200414361.0,2.0,354.0,THEFT OF IDENTITY,,,,
,1.0,440.0,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
200312753.0,1.0,,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442.0,,,
200517895.0,2.0,930.0,,930.0,,,
200321494.0,,330.0,BURGLARY FROM VEHICLE,,,,
201012706.0,2.0,845.0,,845.0,,,
,2.0,661.0,UNAUTHORIZED COMPUTER ACCESS,661.0,,,
,2.0,,BATTERY - SIMPLE ASSAULT,624.0,,,
200609150.0,1.0,,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,,,
,1.0,210.0,,210.0,,,
201212836.0,1.0,,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,,,
200917497.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
201011914.0,1.0,330.0,BURGLARY FROM VEHICLE,,,,
200613614.0,2.0,,,624.0,,,
200307284.0,1.0,121.0,"RAPE, FORCIBLE",121.0,,,
200315866.0,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,,,
200516175.0,,,VEHICLE - STOLEN,,,,
,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200517231.0,,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
,1.0,510.0,,510.0,,,
201012938.0,1.0,510.0,VEHICLE - STOLEN,510.0,,,
200614026.0,,310.0,BURGLARY,310.0,,,
200122014.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,,,,
200320495.0,1.0,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,,,
200211325.0,1.0,210.0,ROBBERY,210.0,,,
200406978.0,,510.0,VEHICLE - STOLEN,,,,
,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,,,
200607168.0,2.0,930.0,,930.0,,,
,1.0,341.0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341.0,,,
201215770.0,2.0,812.0,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),,812.0,,
,,,THEFT OF IDENTITY,354.0,,,
,1.0,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
,1.0,510.0,,,,,
200321686.0,1.0,761.0,BRANDISH WEAPON,761.0,930.0,,
200308939.0,2.0,900.0,VIOLATION OF COURT ORDER,,,,
201007631.0,1.0,,BRANDISH WEAPON,761.0,,,
200813946.0,1.0,,,310.0,,,
200516455.0,2.0,626.0,,626.0,,,
200122119.0,2.0,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,,,
200304583.0,2.0,901.0,,901.0,,,
200315476.0,,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
,2.0,626.0,,626.0,,,
200809562.0,1.0,,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442.0,,,
,1.0,510.0,VEHICLE - STOLEN,510.0,,,
,1.0,310.0,BURGLARY,,,,
200321584.0,2.0,,,354.0,,,
200815069.0,1.0,320.0,"BURGLARY, ATTEMPTED",320.0,,,
201214966.0,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745.0,,,
201108147.0,2.0,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745.0,,,
200808438.0,1.0,330.0,BURGLARY FROM VEHICLE,330.0,,,
201004548.0,2.0,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,930.0,,,
201109103.0,,888.0,,888.0,,,
200310106.0,,,,420.0,,,
201008883.0,2.0,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
200913781.0,2.0,,DISCHARGE FIREARMS/SHOTS FIRED,,998.0,,
200812870.0,2.0,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,,,
201113281.0,1.0,310.0,BURGLARY,310.0,,,
200407198.0,2.0,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
,2.0,930.0,,,,,
200815799.0,,,THEFT OF IDENTITY,,,,
201211062.0,2.0,,,623.0,,,
,2.0,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
,,354.0,,354.0,,,
201219692.0,1.0,420.0,,420.0,,,
,2.0,626.0,,626.0,,,
200713539.0,,440.0,,440.0,,,
200120973.0,1.0,330.0,BURGLARY FROM VEHICLE,330.0,,,
201108111.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
,,,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442.0,,,
,2.0,,UNAUTHORIZED COMPUTER ACCESS,661.0,,,
200513966.0,2.0,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,,,
,1.0,,BURGLARY,310.0,998.0,,
200409389.0,1.0,761.0,BRANDISH WEAPON,626.0,,,
200107228.0,,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,,,
200321313.0,1.0,510.0,,510.0,,,
200109910.0,2.0,,,624.0,,,
,1.0,341.0,,,,,
200912278.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
,1.0,522.0,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",522.0,,,
200709141.0,1.0,,,440.0,,,
,,,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
200707378.0,1.0,341.0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341.0,,,
200715141.0,,,,,,,
201105686.0,1.0,440.0,,440.0,,,
200407426.0,1.0,442.0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442.0,,,
201014312.0,2.0,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
,,,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,,,
200505875.0,1.0,510.0,VEHICLE - STOLEN,,,,
,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200715653.0,,510.0,,,,,
201109241.0,1.0,,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
,,956.0,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",956.0,,,
,1.0,310.0,,,,,
200709021.0,2.0,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,930.0,,,
,1.0,310.0,BURGLARY,,,,
200106175.0,,,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341.0,,,
200617010.0,2.0,668.0,,668.0,,,
,1.0,,,,,,
,,624.0,BATTERY - SIMPLE ASSAULT,,,,
200110052.0,1.0,,VEHICLE - STOLEN,,,,
,,510.0,VEHICLE - STOLEN,,,,
200510674.0,1.0,,VEHICLE - STOLEN,510.0,,,
200916925.0,1.0,440.0,,,,,
200321746.0,2.0,354.0,,,,,
201110606.0,1.0,,,331.0,,,
200116446.0,1.0,,,,,,
200708242.0,1.0,,BURGLARY,,,,
,,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,930.0,,,
,1.0,210.0,ROBBERY,210.0,,,
200807585.0,1.0,440.0,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
200709741.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,,,,
200111101.0,2.0,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
,2.0,354.0,,354.0,,,
200215572.0,2.0,850.0,INDECENT EXPOSURE,,,,
200105054.0,,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
200319565.0,2.0,,BATTERY - SIMPLE ASSAULT,624.0,,,
200316589.0,2.0,,BATTERY - SIMPLE ASSAULT,624.0,,,
200708689.0,,330.0,BURGLARY FROM VEHICLE,330.0,,,
,,450.0,THEFT FROM PERSON - ATTEMPT,450.0,,,
200708936.0,2.0,354.0,THEFT OF IDENTITY,354.0,,,
201300868.0,1.0,210.0,ROBBERY,,998.0,,
,1.0,,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,,,
200619489.0,1.0,761.0,BRANDISH WEAPON,753.0,761.0,930.0,998.0
,,888.0,TRESPASSING,888.0,,,
201213202.0,2.0,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,930.0,,,
201224533.0,1.0,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
,1.0,440.0,,440.0,,,
201204978.0,1.0,330.0,,330.0,,,
200506064.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200118974.0,2.0,,,930.0,,,
,1.0,,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),331.0,,,
,2.0,354.0,THEFT OF IDENTITY,,,,
200809661.0,1.0,,,330.0,,,
200604700.0,,330.0,,330.0,,,
200305025.0,1.0,510.0,VEHICLE - STOLEN,,,,
,2.0,,DISCHARGE FIREARMS/SHOTS FIRED,,998.0,,
200908879.0,,662.0,"BUNCO, GRAND THEFT",662.0,,,
,,,VEHICLE - STOLEN,510.0,,,
,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,627.0,,,
201107194.0,1.0,,VEHICLE - STOLEN,510.0,,,
200416216.0,,330.0,,330.0,,,
200608743.0,,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
200618728.0,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
200321294.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200322296.0,,,,,,,
201113970.0,,668.0,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",668.0,,,
,1.0,,,510.0,,,
,2.0,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,,,
200117988.0,1.0,510.0,VEHICLE - STOLEN,510.0,,,
201306108.0,,330.0,BURGLARY FROM VEHICLE,330.0,,,
201215288.0,1.0,,BRANDISH WEAPON,,,,
200115686.0,,,,330.0,,,
,1.0,341.0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,,,
200205103.0,2.0,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
201016381.0,2.0,,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",956.0,,,
,2.0,,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
201307940.0,1.0,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
200604861.0,,,,,,,
200304189.0,2.0,930.0,,930.0,,,
,2.0,886.0,DISTURBING THE PEACE,,,,
200404296.0,2.0,740.0,,,,,
200209181.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,998.0,,
201007567.0,2.0,888.0,TRESPASSING,888.0,,,
,2.0,,,,,,
,1.0,,,341.0,,,
,2.0,900.0,VIOLATION OF COURT ORDER,,,,
200109244.0,,,ROBBERY,,,,
201116336.0,,761.0,,761.0,,,
201114782.0,2.0,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,,,
,2.0,354.0,,,,,
200707342.0,1.0,,BURGLARY,310.0,,,
201014283.0,1.0,,,,,,
,2.0,901.0,VIOLATION OF RESTRAINING ORDER,901.0,,,
200408618.0,1.0,330.0,,330.0,,,
,1.0,,INTIMATE PARTNER - AGGRAVATED ASSAULT,236.0,,,
200208350.0,1.0,510.0,,,,,
200414488.0,2.0,624.0,,624.0,,,
200808302.0,1.0,341.0,,341.0,,,
200408755.0,,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
,,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,,,,
,2.0,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,,,
200615043.0,1.0,330.0,BURGLARY FROM VEHICLE,,,,
,,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
200216455.0,2.0,,,745.0,,,
200712594.0,2.0,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,998.0,,
200915696.0,,230.0,,230.0,,,
200108556.0,1.0,330.0,,330.0,,,
200116354.0,2.0,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,,,,
200412172.0,2.0,,BATTERY - SIMPLE ASSAULT,624.0,,,
200512111.0,1.0,510.0,VEHICLE - STOLEN,,,,
201113064.0,2.0,745.0,,745.0,,,
200708317.0,1.0,,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
201015685.0,1.0,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),,,,
200808801.0,2.0,662.0,"BUNCO, GRAND THEFT",,,,
200212736.0,2.0,956.0,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",,,,
200515258.0,,,BATTERY - SIMPLE ASSAULT,624.0,,,
200716781.0,2.0,,,740.0,998.0,,
200304700.0,1.0,341.0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341.0,,,
200409594.0,2.0,745.0,,,,,
200208066.0,1.0,,VEHICLE - ATTEMPT STOLEN,520.0,,,
200618580.0,2.0,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,930.0,,,
,,,,740.0,,,
201212144.0,1.0,510.0,VEHICLE - STOLEN,510.0,,,
201219304.0,1.0,510.0,,510.0,,,
200317571.0,1.0,,ROBBERY,210.0,,,
201109063.0,1.0,520.0,VEHICLE - ATTEMPT STOLEN,,,,
,1.0,330.0,,330.0,,,
201307804.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
201214594.0,1.0,330.0,BURGLARY FROM VEHICLE,330.0,,,
200716734.0,2.0,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,930.0,,,
201212831.0,,740.0,,740.0,,,
,1.0,310.0,BURGLARY,310.0,,,
200816285.0,1.0,,BURGLARY,310.0,998.0,,
200616417.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
,2.0,354.0,THEFT OF IDENTITY,354.0,,,
200212614.0,,420.0,,,,,
200605329.0,,440.0,,440.0,,,
,1.0,341.0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341.0,,,
,2.0,624.0,,,,,
,1.0,236.0,INTIMATE PARTNER - AGGRAVATED ASSAULT,236.0,,,
,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,998.0,,
200508431.0,,,OTHER MISCELLANEOUS CRIME,946.0,,,
201219454.0,2.0,888.0,,888.0,998.0,,
201219885.0,2.0,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,930.0,,
,,,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,845.0,,,
200909092.0,1.0,330.0,BURGLARY FROM VEHICLE,,,,
200717236.0,,,,320.0,,,
,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200319472.0,2.0,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
200610699.0,1.0,440.0,,440.0,,,
201005330.0,1.0,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
200504809.0,,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
200705134.0,1.0,480.0,,,,,
,2.0,354.0,THEFT OF IDENTITY,354.0,,,
200611438.0,2.0,755.0,,755.0,,,
,,210.0,,210.0,,,
,2.0,,THEFT OF IDENTITY,354.0,,,
200605686.0,,341.0,,341.0,,,
200508796.0,,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
200909232.0,1.0,330.0,BURGLARY FROM VEHICLE,,,,
,,,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),331.0,,,
200313632.0,1.0,,,331.0,,,
200116174.0,1.0,330.0,BURGLARY FROM VEHICLE,330.0,,,
200606007.0,,,THEFT PLAIN - PETTY ($950 & UNDER),,,,
200608399.0,,330.0,BURGLARY FROM VEHICLE,330.0,,,
,2.0,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
201208742.0,,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
200314858.0,,510.0,VEHICLE - STOLEN,510.0,,,
,2.0,890.0,FAILURE TO YIELD,,,,
,1.0,,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),331.0,,,
200707668.0,1.0,510.0,VEHICLE - STOLEN,,,,
,,900.0,VIOLATION OF COURT ORDER,900.0,,,
,,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
201011314.0,2.0,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,930.0,,,
201220280.0,2.0,624.0,,624.0,,,
201011557.0,1.0,520.0,VEHICLE - ATTEMPT STOLEN,,,,
201110895.0,1.0,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
,1.0,210.0,ROBBERY,210.0,,,
200317128.0,,,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",956.0,,,
,,510.0,,,,,
,1.0,310.0,,310.0,,,
,2.0,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
200219096.0,2.0,662.0,,662.0,,,
201305867.0,1.0,420.0,,420.0,,,
201213641.0,1.0,510.0,VEHICLE - STOLEN,510.0,,,
201013650.0,,236.0,,236.0,,,
,,510.0,VEHICLE - STOLEN,,,,
201005390.0,,420.0,,,,,
200400819.0,1.0,210.0,,210.0,,,
200404133.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200813949.0,,,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341.0,,,
200300601.0,,330.0,BURGLARY FROM VEHICLE,,,,
200211375.0,1.0,440.0,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
200618301.0,,510.0,VEHICLE - STOLEN,510.0,,,
201210589.0,,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745.0,,,
201116284.0,2.0,626.0,,626.0,,,
,1.0,331.0,,331.0,,,
,2.0,,BATTERY - SIMPLE ASSAULT,624.0,,,
201222549.0,2.0,903.0,CONTEMPT OF COURT,,,,
200313886.0,1.0,,,,,,
200314030.0,2.0,,,354.0,,,
,,210.0,ROBBERY,210.0,,,
,2.0,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
200217162.0,1.0,,VEHICLE - STOLEN,510.0,,,
200616654.0,1.0,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,480.0,,
201113171.0,1.0,310.0,,310.0,,,
,1.0,520.0,VEHICLE - ATTEMPT STOLEN,,,,
,,510.0,VEHICLE - STOLEN,,,,
,,236.0,INTIMATE PARTNER - AGGRAVATED ASSAULT,236.0,,,
200817902.0,2.0,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,,,
201109834.0,2.0,888.0,TRESPASSING,,,,
,1.0,,,420.0,,,
200707946.0,,220.0,ATTEMPTED ROBBERY,220.0,,,
200410108.0,1.0,,,510.0,,,
200121645.0,1.0,341.0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,,,
200306662.0,,,,626.0,,,
200313179.0,1.0,520.0,VEHICLE - ATTEMPT STOLEN,520.0,,,
201014056.0,,510.0,VEHICLE - STOLEN,,,,
200214424.0,1.0,510.0,VEHICLE - STOLEN,510.0,,,
200305373.0,2.0,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
200113649.0,1.0,310.0,,,998.0,,
200214882.0,,330.0,BURGLARY FROM VEHICLE,330.0,,,
200411610.0,2.0,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,,,,
200110192.0,,,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341.0,,,
,2.0,,,,,,
200405985.0,2.0,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
200509288.0,,330.0,,330.0,,,
201204576.0,1.0,220.0,ATTEMPTED ROBBERY,220.0,,,
201214447.0,,440.0,,440.0,,,
